"quiz_id","title","submission_id","submitted_at","question_number","question","answer","correct"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","416d4409-c05e-0c73-7130-373b9ee20f76","2026-06-20T11:14:00Z",3,"Which major marathon is held on Patriots' Day?","Berlin Marathon",False
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","416d4409-c05e-0c73-7130-373b9ee20f76","2026-06-20T11:14:00Z",4,"What Nike shoe technology is known for its carbon plate?","Free Run",False
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","416d4409-c05e-0c73-7130-373b9ee20f76","2026-06-20T11:14:00Z",5,"How many marathons make up the World Marathon Majors?","Five",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","d7cce649-d2bc-47cb-9ba6-932814fe0815","2026-07-14T11:16:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","29",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","d7cce649-d2bc-47cb-9ba6-932814fe0815","2026-07-14T11:16:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","89",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","d7cce649-d2bc-47cb-9ba6-932814fe0815","2026-07-14T11:16:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","d7cce649-d2bc-47cb-9ba6-932814fe0815","2026-07-14T11:16:00Z",4,"How old is Eerling Haaland?","24",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","7071c940-da5a-4743-9a63-8633219374a8","2026-07-14T13:01:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","7071c940-da5a-4743-9a63-8633219374a8","2026-07-14T13:01:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","79",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","7071c940-da5a-4743-9a63-8633219374a8","2026-07-14T13:01:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","7071c940-da5a-4743-9a63-8633219374a8","2026-07-14T13:01:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","4b9ae294-7de2-4fc3-b25c-eca5e5977add","2026-07-14T14:29:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","4b9ae294-7de2-4fc3-b25c-eca5e5977add","2026-07-14T14:29:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","4b9ae294-7de2-4fc3-b25c-eca5e5977add","2026-07-14T14:29:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","4b9ae294-7de2-4fc3-b25c-eca5e5977add","2026-07-14T14:29:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","33d790c2-f828-4981-8e67-d10bd1521721","2026-07-14T16:57:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","33d790c2-f828-4981-8e67-d10bd1521721","2026-07-14T16:57:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","87",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","33d790c2-f828-4981-8e67-d10bd1521721","2026-07-14T16:57:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","33d790c2-f828-4981-8e67-d10bd1521721","2026-07-14T16:57:00Z",4,"How old is Eerling Haaland?","27",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","63b02060-0f47-466b-bacf-c4f421b6c766","2026-07-14T18:33:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","63b02060-0f47-466b-bacf-c4f421b6c766","2026-07-14T18:33:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","63b02060-0f47-466b-bacf-c4f421b6c766","2026-07-14T18:33:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","63b02060-0f47-466b-bacf-c4f421b6c766","2026-07-14T18:33:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a3afed03-8ae2-42f6-a906-836b6b5a2e7c","2026-07-14T19:32:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","20",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a3afed03-8ae2-42f6-a906-836b6b5a2e7c","2026-07-14T19:32:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a3afed03-8ae2-42f6-a906-836b6b5a2e7c","2026-07-14T19:32:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a3afed03-8ae2-42f6-a906-836b6b5a2e7c","2026-07-14T19:32:00Z",4,"How old is Eerling Haaland?","24",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","6211ffc4-3859-441d-b124-028ffac91fc9","2026-07-14T22:12:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","6211ffc4-3859-441d-b124-028ffac91fc9","2026-07-14T22:12:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","6211ffc4-3859-441d-b124-028ffac91fc9","2026-07-14T22:12:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","6211ffc4-3859-441d-b124-028ffac91fc9","2026-07-14T22:12:00Z",4,"How old is Eerling Haaland?","31",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","b7232ab5-57c8-49ec-8a8f-c71a303e4389","2026-07-14T23:31:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","b7232ab5-57c8-49ec-8a8f-c71a303e4389","2026-07-14T23:31:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","b7232ab5-57c8-49ec-8a8f-c71a303e4389","2026-07-14T23:31:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","b7232ab5-57c8-49ec-8a8f-c71a303e4389","2026-07-14T23:31:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","192655f2-9fed-48c5-80e3-9becaf230108","2026-07-15T00:49:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","20",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","192655f2-9fed-48c5-80e3-9becaf230108","2026-07-15T00:49:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","89",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","192655f2-9fed-48c5-80e3-9becaf230108","2026-07-15T00:49:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","192655f2-9fed-48c5-80e3-9becaf230108","2026-07-15T00:49:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ef22b047-b03c-4475-b75c-5530bcda9c7a","2026-07-15T01:27:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ef22b047-b03c-4475-b75c-5530bcda9c7a","2026-07-15T01:27:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","87",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ef22b047-b03c-4475-b75c-5530bcda9c7a","2026-07-15T01:27:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ef22b047-b03c-4475-b75c-5530bcda9c7a","2026-07-15T01:27:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","fd19c69d-0692-46e1-afd0-f1d27fad3e45","2026-07-15T03:27:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","20",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","fd19c69d-0692-46e1-afd0-f1d27fad3e45","2026-07-15T03:27:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","87",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","fd19c69d-0692-46e1-afd0-f1d27fad3e45","2026-07-15T03:27:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Adidas",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","fd19c69d-0692-46e1-afd0-f1d27fad3e45","2026-07-15T03:27:00Z",4,"How old is Eerling Haaland?","31",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f0781b34-4878-484b-8c59-b64de9c418fa","2026-07-15T05:09:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f0781b34-4878-484b-8c59-b64de9c418fa","2026-07-15T05:09:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f0781b34-4878-484b-8c59-b64de9c418fa","2026-07-15T05:09:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f0781b34-4878-484b-8c59-b64de9c418fa","2026-07-15T05:09:00Z",4,"How old is Eerling Haaland?","24",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","bfe18da2-c0c7-4ac7-a2e0-bd0847f234cc","2026-07-15T08:54:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","bfe18da2-c0c7-4ac7-a2e0-bd0847f234cc","2026-07-15T08:54:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","89",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","bfe18da2-c0c7-4ac7-a2e0-bd0847f234cc","2026-07-15T08:54:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","bfe18da2-c0c7-4ac7-a2e0-bd0847f234cc","2026-07-15T08:54:00Z",4,"How old is Eerling Haaland?","31",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","2dc81d42-2d0d-47b1-b9e7-81878bfe11e0","2026-07-15T12:07:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","32",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","2dc81d42-2d0d-47b1-b9e7-81878bfe11e0","2026-07-15T12:07:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","2dc81d42-2d0d-47b1-b9e7-81878bfe11e0","2026-07-15T12:07:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","2dc81d42-2d0d-47b1-b9e7-81878bfe11e0","2026-07-15T12:07:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","dc066d74-eebe-44f8-957b-da4c698dd2e9","2026-07-15T14:29:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","dc066d74-eebe-44f8-957b-da4c698dd2e9","2026-07-15T14:29:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","dc066d74-eebe-44f8-957b-da4c698dd2e9","2026-07-15T14:29:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","dc066d74-eebe-44f8-957b-da4c698dd2e9","2026-07-15T14:29:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ee864749-aa4f-419e-b705-1f56155ea025","2026-07-15T15:39:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","29",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ee864749-aa4f-419e-b705-1f56155ea025","2026-07-15T15:39:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","89",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ee864749-aa4f-419e-b705-1f56155ea025","2026-07-15T15:39:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","ee864749-aa4f-419e-b705-1f56155ea025","2026-07-15T15:39:00Z",4,"How old is Eerling Haaland?","24",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","1b563fb0-25b9-4628-a210-e21af7c111d2","2026-07-15T18:05:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","1b563fb0-25b9-4628-a210-e21af7c111d2","2026-07-15T18:05:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","79",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","1b563fb0-25b9-4628-a210-e21af7c111d2","2026-07-15T18:05:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","1b563fb0-25b9-4628-a210-e21af7c111d2","2026-07-15T18:05:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a930bc85-8d23-490e-b839-d580eebe4c6d","2026-07-15T20:54:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a930bc85-8d23-490e-b839-d580eebe4c6d","2026-07-15T20:54:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a930bc85-8d23-490e-b839-d580eebe4c6d","2026-07-15T20:54:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Hummel",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","a930bc85-8d23-490e-b839-d580eebe4c6d","2026-07-15T20:54:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","744b01c8-8a09-4ab7-ade8-324ab701adeb","2026-07-15T21:48:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","20",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","744b01c8-8a09-4ab7-ade8-324ab701adeb","2026-07-15T21:48:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","744b01c8-8a09-4ab7-ade8-324ab701adeb","2026-07-15T21:48:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","744b01c8-8a09-4ab7-ade8-324ab701adeb","2026-07-15T21:48:00Z",4,"How old is Eerling Haaland?","24",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","8ace2fb2-369e-41f4-81f8-01648b7a39bd","2026-07-16T00:07:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","8ace2fb2-369e-41f4-81f8-01648b7a39bd","2026-07-16T00:07:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","8ace2fb2-369e-41f4-81f8-01648b7a39bd","2026-07-16T00:07:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","8ace2fb2-369e-41f4-81f8-01648b7a39bd","2026-07-16T00:07:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f26b47b6-31fd-4e23-89b1-019408e05dfe","2026-07-16T03:13:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","29",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f26b47b6-31fd-4e23-89b1-019408e05dfe","2026-07-16T03:13:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","79",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f26b47b6-31fd-4e23-89b1-019408e05dfe","2026-07-16T03:13:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","f26b47b6-31fd-4e23-89b1-019408e05dfe","2026-07-16T03:13:00Z",4,"How old is Eerling Haaland?","26",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","3b2f49ea-17b1-44cc-8e7d-291bfc3e45c4","2026-07-16T06:55:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","28",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","3b2f49ea-17b1-44cc-8e7d-291bfc3e45c4","2026-07-16T06:55:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","87",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","3b2f49ea-17b1-44cc-8e7d-291bfc3e45c4","2026-07-16T06:55:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Hummel",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","3b2f49ea-17b1-44cc-8e7d-291bfc3e45c4","2026-07-16T06:55:00Z",4,"How old is Eerling Haaland?","31",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","e1737d18-ed2d-45d5-8f75-08f6225a9f19","2026-07-16T08:16:00Z",1,"How many years has it been since the last time Norway qualified for the Fifa World Cup?","32",False
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","e1737d18-ed2d-45d5-8f75-08f6225a9f19","2026-07-16T08:16:00Z",2,"In which minute did Eerling Haaland score the winning goal against Brazil in the 2026 world cup?","90",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","e1737d18-ed2d-45d5-8f75-08f6225a9f19","2026-07-16T08:16:00Z",3,"Which brand is the current kit provider for the Norwegian National Football Team?","Nike",True
"a56c7c4f-be6c-48a1-a8d4-831cc1d7e9c7","Fifa World Cup 2026","e1737d18-ed2d-45d5-8f75-08f6225a9f19","2026-07-16T08:16:00Z",4,"How old is Eerling Haaland?","26",True
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","ab51f20e-0cbe-4719-9159-76e3a2b41bd2","2026-07-18T09:47:00Z",1,"In which year was Chelsea FC founded?","1919",False
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","ab51f20e-0cbe-4719-9159-76e3a2b41bd2","2026-07-18T09:47:00Z",2,"What is the name of Chelsea FC's home stadium?","Stamford Bridge",True
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","ab51f20e-0cbe-4719-9159-76e3a2b41bd2","2026-07-18T09:47:00Z",3,"Which animal features on the Chelsea FC club crest?","Lion",True
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","ab51f20e-0cbe-4719-9159-76e3a2b41bd2","2026-07-18T09:47:00Z",4,"Who is Chelsea FC's all-time leading goalscorer?","Didier Drogba",False
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","ab51f20e-0cbe-4719-9159-76e3a2b41bd2","2026-07-18T09:47:00Z",5,"In which year did Chelsea FC win their first UEFA Champions League title?","2005",False
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","18979a3c-41c4-4211-9a42-6ab138fb9166","2026-07-18T12:12:00Z",1,"In which year was Chelsea FC founded?","1905",True
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","18979a3c-41c4-4211-9a42-6ab138fb9166","2026-07-18T12:12:00Z",2,"What is the name of Chelsea FC's home stadium?","Stamford Bridge",True
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","18979a3c-41c4-4211-9a42-6ab138fb9166","2026-07-18T12:12:00Z",3,"Which animal features on the Chelsea FC club crest?","Lion",True
"3f1c8e42-5a7d-4b19-9e63-c0d84f2a71b5","Chelsea FC Stadium and Museum Tour","18979a3c-41c4-4211-9a42-6ab138fb9166","2026-07-18T12:12:00Z",4,"Who is Chelsea FC's all-time leading goalscorer?","Didier Drogba",False
